"client_ip","client_port","server_ip","server_port","packets","bytes","packets_cli_to_srv","bytes_cli_to_srv","packets_srv_to_cli","bytes_srv_to_cli","start_time","duration","bits/s_cli_to_srv","bits/s_srv_to_cli"
"192.168.11.9",63237,"224.0.0.252",5355,1,75,1,75,0,0,189.161435,0,0,0
"192.168.11.9",51813,"224.0.0.252",5355,2,150,2,150,0,0,189.16288,0.41046199999999544,2923.5349435514454,0
"192.168.11.9",58632,"192.168.11.3",161,2,286,1,128,1,158,189.165904,0.012019999999978381,85191.34775389699,105158.06988371658
"192.168.11.9",65260,"224.0.0.252",5355,1,75,1,75,0,0,189.182962,0,0,0
"192.168.11.9",65261,"192.168.11.3",161,2,303,1,93,1,210,189.183563,0.010779000000013639,69023.10047305489,155858.61397141425
"192.168.11.9",63237,"192.168.11.3",5355,1,106,0,0,1,106,189.274361,0,0,0
"192.168.11.9",65260,"192.168.11.3",5355,1,106,0,0,1,106,189.2755,0,0,0
"192.168.11.9",53956,"224.0.0.252",5355,2,150,2,150,0,0,191.520538,0.4104820000000018,2923.3924995492976,0
"192.168.11.9",65202,"224.0.0.252",5355,2,150,2,150,0,0,193.877268,0.4101750000000095,2925.580544889309,0
"192.168.11.9",61420,"224.0.0.252",5355,2,150,2,150,0,0,196.232394,0.40967900000001123,2929.122556928637,0
"192.168.11.9",61668,"192.168.11.1",53,2,466,1,67,1,399,197.22405,0.02188899999998739,24487.18534425094,145826.67093068841
"192.168.11.9",51119,"224.0.0.252",5355,2,150,2,150,0,0,198.588349,0.4100830000000144,2926.2368837526983,0
"192.168.11.9",62051,"224.0.0.252",5355,4,300,4,300,0,0,200.943069,1108.109907,2.1658501425165944,0
"192.168.11.9",61880,"192.168.10.7",161,1,88,1,88,0,0,202.081942,0,0,0
"192.168.11.9",61881,"192.168.10.7",161,1,88,1,88,0,0,204.082966,0,0,0
"192.168.11.9",61882,"192.168.10.7",161,1,578,1,578,0,0,206.08356,0,0,0
"192.168.11.9",61883,"192.168.10.7",161,1,578,1,578,0,0,209.086024,0,0,0
"192.168.11.9",61614,"224.0.0.252",5355,2,150,2,150,0,0,212.004127,0.4112949999999955,2917.613878116712,0
"192.168.11.9",63333,"224.0.0.252",5355,2,150,2,150,0,0,213.441566,0.41018199999999183,2925.530618115919,0
"192.168.11.9",52780,"224.0.0.252",5355,2,150,2,150,0,0,213.443222,0.41040000000000987,2923.9766081870644,0
"192.168.11.9",57503,"192.168.11.1",53,4,1110,2,178,2,932,214.177081,0.05740000000000123,24808.36236933745,129895.47038327248
"192.168.11.9",60960,"192.168.11.1",53,2,466,1,67,1,399,214.177082,0.02469899999999825,21701.283452772906,129236.00145755804
"192.168.11.9",56472,"224.0.0.252",5355,2,150,2,150,0,0,214.262552,0.4108879999999999,2920.5038842701665,0
"192.168.11.9",51143,"192.168.11.3",161,2,177,1,88,1,89,214.623709,0.004669000000006918,0,0
"192.168.11.9",51144,"192.168.11.3",161,2,179,1,89,1,90,214.628929,0.004524000000003525,0,0
"192.168.11.9",51145,"192.168.11.3",161,2,1156,1,578,1,578,214.63406,0.21183399999998187,21828.412813808907,21828.412813808907
"192.168.11.9",65215,"192.168.11.1",53,2,422,1,79,1,343,214.821058,0.024837000000019316,25445.907315678563,110480.33176300947
"192.168.11.9",62129,"224.0.0.252",5355,1,75,1,75,0,0,214.901023,0,0,0
"192.168.11.9",62129,"192.168.11.3",5355,1,106,0,0,1,106,214.966574,0,0,0
"192.168.11.9",65467,"224.0.0.252",5355,1,75,1,75,0,0,214.970214,0,0,0
"192.168.11.9",65467,"192.168.11.3",5355,1,106,0,0,1,106,215.0694,0,0,0
"192.168.11.9",65163,"192.168.11.1",53,2,470,1,85,1,385,215.59393,0.022926000000012436,29660.647299992634,134345.2848293784
"192.168.11.9",61304,"192.168.11.1",53,2,421,1,75,1,346,216.210475,0.02330100000000357,25749.96781253629,118793.18484183408
"192.168.11.9",60747,"192.168.11.1",53,2,452,1,80,1,372,216.756355,0.025876999999979944,24732.387834775902,115005.60343170795
"192.168.11.9",62558,"192.168.11.1",53,2,414,1,75,1,339,217.448729,0.023232000000007247,25826.44628098368,116735.53719004623
"192.168.11.9",63438,"224.0.0.252",5355,1,75,1,75,0,0,219.161299,0,0,0
"192.168.11.9",57846,"224.0.0.252",5355,2,150,2,150,0,0,219.177106,0.43549999999999045,2755.453501722219,0
